id,user_id,watchlist_id,company_name,market,title,summary,link,urlToImage,content,author,published_at,source_system,summary_short,business_bites_news_id,impact_score,sentiment,search_engine,discovered_at,rank
1,default_user,,Google,US,"Google News - Daily Headlines - Apps on Google Play","",https://play.google.com/store/apps/details?id=com.google.android.apps.magazines&hl=en_US,,,,,Play.Google.Com,,,6.0,neutral,"Serper API","2025-11-08 16:24:27.827751",1
3,default_user,,Google,US,"Understanding How News Works on Google - Google Search","",https://www.google.com/intl/en_us/search/howsearchworks/how-news-works,,,,,Google.Com,,,6.0,neutral,"Serper API","2025-11-08 16:24:27.831161",1
4,default_user,,Google,US,"Google News Initiative - Home","",https://newsinitiative.withgoogle.com/,,,,,Newsinitiative.Withgoogle.Com,,,6.0,neutral,"Serper API","2025-11-08 16:24:27.832624",1
5,default_user,,Google,US,"Google News - App Store","",https://apps.apple.com/us/app/google-news/id459182288,,,,,Apps.Apple.Com,,,6.0,neutral,"Serper API","2025-11-08 16:24:27.834483",1
7,default_user,,Amazon,US,"Amazon CEO Andy Jassy says everyone is getting layoffs ...","",https://timesofindia.indiatimes.com/technology/tech-news/amazon-ceo-andy-jassy-says-everyone-is-getting-layoffs-wrong-stop-blaming/articleshow/125180052.cms,,,,,Timesofindia.Indiatimes.Com,,,6.0,neutral,"Serper API","2025-11-08 16:24:43.895367",1
8,default_user,,Amazon,US,"Set Up News and Flash Briefings for Alexa","",https://www.amazon.com/gp/help/customer/display.html?nodeId=GXMFWZJ8FKRGLFFU,,,,,Amazon.Com,,,6.0,neutral,"Serper API","2025-11-08 16:24:43.897196",1
10,default_user,,Amazon,US,"Amazon settlement: Prime members to receive $1.5 billion ...","",https://www.mlive.com/news/2025/11/amazon-settlement-prime-members-to-receive-15-billion-heres-how-to-claim-your-share.html,,,,,Mlive.Com,,,7.0,neutral,"Serper API","2025-11-08 16:24:43.900347",1
11,default_user,,Alibaba,US,"Buy Alibaba, Sell Meituan Pair Trade Thrives on Price War ...","",https://finance.yahoo.com/news/buy-alibaba-sell-meituan-pair-024623706.html,,,,,Finance.Yahoo.Com,,,6.0,neutral,"Serper API","2025-11-08 16:25:03.846478",1
12,default_user,,Alibaba,US,"BABA: Alibaba Group Holding Ltd - Stock Price, Quote and ...","",https://www.cnbc.com/quotes/BABA,,,,,CNBC,,,6.0,neutral,"Serper API","2025-11-08 16:25:03.848605",1
13,default_user,,Alibaba,US,"Alibaba Is A 'Buy' Ahead Of Its Q2 Earnings Report","",https://seekingalpha.com/article/4840195-alibaba-buy-ahead-of-q2-earnings-report,,,,,Seekingalpha.Com,,,6.5,neutral,"Serper API","2025-11-08 16:25:03.850253",1
